id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,listingAgent,listingOffice,history,hoa
"5607-Hollow-Oak-Rd,-Orlando,-FL-32808","5607 Hollow Oak Rd, Orlando, FL 32808",5607 Hollow Oak Rd,,Orlando,FL,32808,Orange,28.585147,-81.4572,Single Family,4.0,2.0,2481.0,10132.0,1969.0,Active,348999,Standard,2024-02-20T00:00:00.000Z,,2022-03-12T13:40:18.072Z,2025-04-25T13:51:37.439Z,431,MiamiMLS,A11532707,"{'name': 'Tiwana D. Holmes', 'phone': '9548256789', 'email': 'tiwanaholmes@gmail.com', 'website': 'http://tiwanaholmes.ppirealtyfl.com'}","{'name': ""Preferred Properties Int'l Realty Inc "", 'phone': '5614771193', 'email': 'info@ppirfl.com', 'website': 'http://www.ppirfl.com'}","{'2024-02-20': {'event': 'Sale Listing', 'price': 348999, 'listingType': 'Standard', 'listedDate': '2024-02-20T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 431}}",
"4139-S-Lake-Orlando-Pkwy,-Orlando,-FL-32808","4139 S Lake Orlando Pkwy, Orlando, FL 32808",4139 S Lake Orlando Pkwy,,Orlando,FL,32808,Orange,28.59017,-81.431488,Land,,,,43560.0,,Active,675000,Standard,2024-05-08T00:00:00.000Z,,2024-05-08T00:00:00.000Z,2025-04-25T13:51:37.428Z,353,MiamiMLS,A11583526,"{'name': 'Daniel Pimas', 'phone': '7864253185', 'email': 're@pimas.us', 'website': 'https://castellblau.com'}","{'name': 'Castell Blau LLC', 'phone': '7864253185', 'email': 'dp@castellblau.com', 'website': 'http://www.castellblau.co'}","{'2024-05-08': {'event': 'Sale Listing', 'price': 675000, 'listingType': 'Standard', 'listedDate': '2024-05-08T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 353}}",
"4137-S-Lake-Orlando-Pkwy,-Orlando,-FL-32808","4137 S Lake Orlando Pkwy, Orlando, FL 32808",4137 S Lake Orlando Pkwy,,Orlando,FL,32808,Orange,28.590113,-81.431511,Land,,,,43560.0,,Active,675000,Standard,2024-05-07T00:00:00.000Z,,2024-05-08T00:00:00.000Z,2025-04-25T13:51:37.427Z,354,MiamiMLS,A11583514,"{'name': 'Daniel Pimas', 'phone': '7864253185', 'email': 're@pimas.us', 'website': 'https://castellblau.com'}","{'name': 'Castell Blau LLC', 'phone': '7864253185', 'email': 'dp@castellblau.com', 'website': 'http://www.castellblau.co'}","{'2024-05-07': {'event': 'Sale Listing', 'price': 675000, 'listingType': 'Standard', 'listedDate': '2024-05-07T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 354}}",
"4133-S-Lake-Orlando-Pkwy,-Orlando,-FL-32808","4133 S Lake Orlando Pkwy, Orlando, FL 32808",4133 S Lake Orlando Pkwy,,Orlando,FL,32808,Orange,28.589977,-81.431496,Land,,,,43560.0,,Active,675000,Standard,2024-05-07T00:00:00.000Z,,2024-05-08T00:00:00.000Z,2025-04-25T13:51:37.426Z,354,MiamiMLS,A11583510,"{'name': 'Daniel Pimas', 'phone': '7864253185', 'email': 're@pimas.us', 'website': 'https://castellblau.com'}","{'name': 'Castell Blau LLC', 'phone': '7864253185', 'email': 'dp@castellblau.com', 'website': 'http://www.castellblau.co'}","{'2024-05-07': {'event': 'Sale Listing', 'price': 675000, 'listingType': 'Standard', 'listedDate': '2024-05-07T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 354}}",
"4131-S-Lake-Orlando-Pkwy,-Orlando,-FL-32808","4131 S Lake Orlando Pkwy, Orlando, FL 32808",4131 S Lake Orlando Pkwy,,Orlando,FL,32808,Orange,28.589899,-81.431496,Land,,,,43560.0,,Active,675000,Standard,2024-05-07T00:00:00.000Z,,2024-05-08T00:00:00.000Z,2025-04-25T13:51:37.423Z,354,MiamiMLS,A11583507,"{'name': 'Daniel Pimas', 'phone': '7864253185', 'email': 're@pimas.us', 'website': 'https://castellblau.com'}","{'name': 'Castell Blau LLC', 'phone': '7864253185', 'email': 'dp@castellblau.com', 'website': 'http://www.castellblau.co'}","{'2024-05-07': {'event': 'Sale Listing', 'price': 675000, 'listingType': 'Standard', 'listedDate': '2024-05-07T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 354}}",
"4830-Norwalk-Pl,-Orlando,-FL-32808","4830 Norwalk Pl, Orlando, FL 32808",4830 Norwalk Pl,,Orlando,FL,32808,Orange,28.592995,-81.445854,Single Family,3.0,2.0,1299.0,8795.0,1976.0,Active,250000,Standard,2024-03-14T00:00:00.000Z,,2024-03-14T00:00:00.000Z,2025-04-25T13:51:37.383Z,408,StellarMLS,O6187214,"{'name': 'Yashmit Gutierrez', 'phone': '4077065274', 'email': 'yashmit.gutierrez@exprealty.com', 'website': 'https://yashmitgutierrez.exprealty.com'}","{'name': 'EXP REALTY LLC', 'phone': '8888838509', 'email': 'a.shahin.broker@exprealty.net'}","{'2024-03-14': {'event': 'Sale Listing', 'price': 250000, 'listingType': 'Standard', 'listedDate': '2024-03-14T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 408}}",
"1608-Mercy-Dr,-Orlando,-FL-32808","1608 Mercy Dr, Orlando, FL 32808",1608 Mercy Dr,,Orlando,FL,32808,Orange,28.56332,-81.431104,Single Family,5.0,3.0,1452.0,43560.0,1958.0,Active,389900,Standard,2024-04-16T00:00:00.000Z,,2020-09-15T19:45:41.621Z,2025-04-25T13:51:37.369Z,375,StellarMLS,O6196632,"{'name': 'Judith Taveras', 'phone': '3053082230', 'email': 'judy3298@aol.com'}","{'name': 'GENESIS REALTY SERVICES INC.', 'phone': '3058236124', 'email': 'judy3298@aol.com'}","{'2024-04-16': {'event': 'Sale Listing', 'price': 389900, 'listingType': 'Standard', 'listedDate': '2024-04-16T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 375}}",
"1541-N-Hudson-St,-Orlando,-FL-32808","1541 N Hudson St, Orlando, FL 32808",1541 N Hudson St,,Orlando,FL,32808,Orange,28.560822,-81.46168,Single Family,4.0,2.0,1442.0,7951.0,1956.0,Active,282500,Standard,2024-06-18T00:00:00.000Z,,2024-03-16T00:00:00.000Z,2025-04-25T13:50:17.238Z,312,StellarMLS,S5106968,"{'name': 'Catalina Franco', 'phone': '4079631451', 'email': 'catalinafrancorealtor@gmail.com'}","{'name': 'Varonia Real Estate, Llc', 'phone': '4079569278', 'email': 'floridarealtor11@yahoo.com'}","{'2024-06-18': {'event': 'Sale Listing', 'price': 282500, 'listingType': 'Standard', 'listedDate': '2024-06-18T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 312}}",
"N-Pine-Hills-Rd,-Orlando,-FL-32808","N Pine Hills Rd, Orlando, FL 32808",N Pine Hills Rd,,Orlando,FL,32808,Orange,28.59080582,-81.451064,Land,,,,73181.0,,Active,420000,Standard,2024-06-21T00:00:00.000Z,,2024-06-27T00:00:00.000Z,2025-04-25T13:50:17.198Z,309,StellarMLS,O6216425,"{'name': 'Debbie Lebron', 'email': 'deboralebron22@gmail.com'}","{'name': 'LA ROSA REALTY LAKE NONA INC', 'phone': '4072706841', 'email': 'norkisny@gmail.com', 'website': 'joinlarosalakenona.com'}","{'2024-06-21': {'event': 'Sale Listing', 'price': 420000, 'listingType': 'Standard', 'listedDate': '2024-06-21T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 309}}",
"4146-Versailles-Dr,-Orlando,-FL-32808","4146 Versailles Dr, Orlando, FL 32808",4146 Versailles Dr,,Orlando,FL,32808,Orange,28.602305,-81.430704,Condo,2.0,2.0,1165.0,17860.0,1982.0,Active,149900,Standard,2024-07-01T00:00:00.000Z,,2024-07-02T00:00:00.000Z,2025-04-25T13:50:17.194Z,299,StellarMLS,O6218850,,"{'name': 'Coldwell Banker Realty', 'phone': '4073521040', 'email': 'andre.williamson@floridamoves.com', 'website': 'https://www.coldwellbankerhomes.com//fl/orlando/office/southwest-orlando/oid_978/'}","{'2024-07-01': {'event': 'Sale Listing', 'price': 149900, 'listingType': 'Standard', 'listedDate': '2024-07-01T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 299}}",{'fee': 302}
