id,formattedaddress,addressline1,addressline2,city,state,zipcode,county,latitude,longitude,propertytype,lotsize,status,price,listeddate,daysonmarket,bedrooms,bathrooms,squarefootage,yearbuilt,log_price
"7900-S-Orange-Blossom-Trl,---1101,-Orlando,-FL-32809","7900 S Orange Blossom Trl, # 1101, Orlando, FL 32809",7900 S Orange Blossom Trl,# 1101,Orlando,FL,32809,Orange,28.451658,-81.40197,condo,436.0,Active,75000,2024-04-30T00:00:00.000Z,361,1.0,1.0,276.0,1974.0,11.225256725762893
"541-Trellis-Ct,---A,-Orlando,-FL-32809","541 Trellis Ct, # A, Orlando, FL 32809",541 Trellis Ct,# A,Orlando,FL,32809,Orange,28.472126,-81.38318,condo,4896.0,Active,170000,2024-03-28T00:00:00.000Z,394,2.0,1.0,863.0,1984.0,12.04355959836804
"933-W-Oak-Ridge-Rd,---933B,-Orlando,-FL-32809","933 W Oak Ridge Rd, # 933B, Orlando, FL 32809",933 W Oak Ridge Rd,# 933B,Orlando,FL,32809,Orange,28.473482,-81.392303,condo,237838.0,Active,155000,2024-05-09T00:00:00.000Z,352,1.0,1.0,713.0,1970.0,11.951186847493476
"1213-Nela-Ave,-Orlando,-FL-32809","1213 Nela Ave, Orlando, FL 32809",1213 Nela Ave,,Orlando,FL,32809,Orange,28.462281,-81.363531,single_family,10890.0,Active,424900,2024-07-29T00:00:00.000Z,271,4.0,2.0,1972.0,1930.0,12.959611479595074
"5329-Hansel-Ave,-Apt-B4,-Edgewood,-FL-32809","5329 Hansel Ave, Apt B4, Edgewood, FL 32809",5329 Hansel Ave,Apt B4,Edgewood,FL,32809,Orange,28.481979,-81.369827,condo,11761.0,Active,209000,2024-07-29T00:00:00.000Z,271,2.0,2.0,994.0,1970.0,12.250094315624496
"5437-Hansel-Ave,-Apt-J10,-Orlando,-FL-32809","5437 Hansel Ave, Apt J10, Orlando, FL 32809",5437 Hansel Ave,Apt J10,Orlando,FL,32809,Orange,28.481234,-81.369308,condo,9649.0,Active,245000,2024-09-05T00:00:00.000Z,233,3.0,2.0,1341.0,1970.0,12.409017571151187
"1613-W-Oak-Ridge-Rd,---1613B,-Orlando,-FL-32809","1613 W Oak Ridge Rd, # 1613B, Orlando, FL 32809",1613 W Oak Ridge Rd,# 1613B,Orlando,FL,32809,Orange,28.474938,-81.39991,condo,4446.0,Active,200000,2024-09-23T00:00:00.000Z,215,3.0,2.0,1195.0,1969.0,12.206077645517674
"7900-S-Orange-Blossom-Trl,---1120,-Orlando,-FL-32809","7900 S Orange Blossom Trl, # 1120, Orlando, FL 32809",7900 S Orange Blossom Trl,# 1120,Orlando,FL,32809,Orange,28.451681,-81.401962,condo,436.0,Active,65000,2024-10-05T00:00:00.000Z,203,0.0,1.0,276.0,1974.0,11.082157933374816
"5447-Hansel-Ave,-Apt-M13,-Orlando,-FL-32809","5447 Hansel Ave, Apt M13, Orlando, FL 32809",5447 Hansel Ave,Apt M13,Orlando,FL,32809,Orange,28.480915,-81.369598,condo,9670.0,Active,235000,2024-10-15T00:00:00.000Z,193,3.0,2.0,1291.0,1970.0,12.367345048436391
"2727-W-Oak-Ridge-Rd,---3,-Orlando,-FL-32809","2727 W Oak Ridge Rd, # 3, Orlando, FL 32809",2727 W Oak Ridge Rd,# 3,Orlando,FL,32809,Orange,28.47273,-81.413982,condo,702.0,Active,145000,2024-10-19T00:00:00.000Z,189,1.0,1.0,702.0,1969.0,11.884495917930655
"7900-S-Orange-Blossom-Trl,---2053,-Orlando,-FL-32809","7900 S Orange Blossom Trl, # 2053, Orlando, FL 32809",7900 S Orange Blossom Trl,# 2053,Orlando,FL,32809,Orange,28.451681,-81.401962,condo,436.0,Active,65000,2024-11-01T00:00:00.000Z,176,1.0,1.0,276.0,1974.0,11.082157933374816
"7900-S-Orange-Blossom-Trl,---2097,-Orlando,-FL-32809","7900 S Orange Blossom Trl, # 2097, Orlando, FL 32809",7900 S Orange Blossom Trl,# 2097,Orlando,FL,32809,Orange,28.451382,-81.402784,condo,436.0,Active,65000,2024-11-07T00:00:00.000Z,170,1.0,1.0,276.0,1974.0,11.082157933374816
"6621-Bouganvillea-Crescent-Dr,-Orlando,-FL-32809","6621 Bouganvillea Crescent Dr, Orlando, FL 32809",6621 Bouganvillea Crescent Dr,,Orlando,FL,32809,Orange,28.457566,-81.37391,single_family,6922.0,Active,410000,2024-11-17T00:00:00.000Z,160,4.0,2.0,1935.0,2000.0,12.923914877701906
"2109-Morning-Dr,-Orlando,-FL-32809","2109 Morning Dr, Orlando, FL 32809",2109 Morning Dr,,Orlando,FL,32809,Orange,28.443539,-81.407634,single_family,15246.0,Active,450000,2024-11-18T00:00:00.000Z,159,4.0,3.0,2660.0,1956.0,13.017005083966255
"1018-Wilks-Ave,-Belle-Isle,-FL-32809","1018 Wilks Ave, Belle Isle, FL 32809",1018 Wilks Ave,,Belle Isle,FL,32809,Orange,28.473932,-81.365456,single_family,5930.0,Active,575000,2024-11-25T00:00:00.000Z,152,3.0,2.5,2078.0,2018.0,13.26212705890841
"1210-Southstation-Pl,---303,-Orlando,-FL-32809","1210 Southstation Pl, # 303, Orlando, FL 32809",1210 Southstation Pl,# 303,Orlando,FL,32809,Orange,28.45489571,-81.36340191,condo,8253.0,Active,325000,2024-12-07T00:00:00.000Z,140,2.0,2.0,1153.0,2024.0,12.691583538230217
