id,formattedaddress,addressline1,addressline2,city,state,zipcode,county,latitude,longitude,propertytype,bedrooms,bathrooms,squarefootage,lotsize,yearbuilt,status,price,listeddate,daysonmarket,log_price
"28-W-Esther-St,-Unit-A,-Orlando,-FL-32806","28 W Esther St, Unit A, Orlando, FL 32806",28 W Esther St,Unit A,Orlando,FL,32806,Orange,28.519184,-81.377371,townhouse,3.0,2.0,1645.0,700.0,2007.0,Active,449900,2023-12-15T00:00:00.000Z,480,13.016782837542953
"2533-S-Fern-Creek-Ave,-Orlando,-FL-32806","2533 S Fern Creek Ave, Orlando, FL 32806",2533 S Fern Creek Ave,,Orlando,FL,32806,Orange,28.514091,-81.359579,multi-family,4.0,2.0,1772.0,6801.0,1985.0,Active,599900,2023-12-15T00:00:00.000Z,480,13.304519920584285
"1516-Briercliff-Dr,-Orlando,-FL-32806","1516 Briercliff Dr, Orlando, FL 32806",1516 Briercliff Dr,,Orlando,FL,32806,Orange,28.525932,-81.361683,single_family,4.0,2.0,4496.0,21780.0,2001.0,Active,1674900,2024-04-18T00:00:00.000Z,355,14.331264617016954
"224-W-Illiana-St,-Orlando,-FL-32806","224 W Illiana St, Orlando, FL 32806",224 W Illiana St,,Orlando,FL,32806,Orange,28.510762,-81.381167,single_family,3.0,2.0,1805.0,10890.0,1949.0,Active,439000,2024-04-19T00:00:00.000Z,354,12.992256969959042
"31-W-Harding-St,-Orlando,-FL-32806","31 W Harding St, Orlando, FL 32806",31 W Harding St,,Orlando,FL,32806,Orange,28.518697,-81.377785,single_family,3.0,1.0,734.0,6872.0,1935.0,Active,445000,2024-07-02T00:00:00.000Z,280,13.005831808336863
"210-W-Illiana-St,-Orlando,-FL-32806","210 W Illiana St, Orlando, FL 32806",210 W Illiana St,,Orlando,FL,32806,Orange,28.510763,-81.380794,single_family,3.0,2.0,1795.0,21780.0,1949.0,Active,623750,2024-06-19T00:00:00.000Z,293,13.343506529252993
"1803-E-Kaley-Ave,-Orlando,-FL-32806","1803 E Kaley Ave, Orlando, FL 32806",1803 E Kaley Ave,,Orlando,FL,32806,Orange,28.520041,-81.356606,single_family,3.0,2.0,2232.0,22651.0,1930.0,Active,775000,2024-07-18T00:00:00.000Z,264,13.560619598657233
"2928-Lake-Pineloch-Blvd,---17-26,-Orlando,-FL-32806","2928 Lake Pineloch Blvd, # 17-26, Orlando, FL 32806",2928 Lake Pineloch Blvd,# 17-26,Orlando,FL,32806,Orange,28.509153,-81.364265,condo,3.0,2.0,1460.0,9460.0,1985.0,Active,371000,2024-07-24T00:00:00.000Z,258,12.82396003700373
"301-Richard-Pl,-Orlando,-FL-32806","301 Richard Pl, Orlando, FL 32806",301 Richard Pl,,Orlando,FL,32806,Orange,28.507965,-81.383033,single_family,4.0,3.0,2750.0,15246.0,2004.0,Active,990000,2024-08-02T00:00:00.000Z,249,13.805461232211272
"38-W-Harding-St,-Unit-B,-Orlando,-FL-32806","38 W Harding St, Unit B, Orlando, FL 32806",38 W Harding St,Unit B,Orlando,FL,32806,Orange,28.51829,-81.378113,townhouse,4.0,2.0,2061.0,1274.0,2023.0,Active,515000,2024-08-03T00:00:00.000Z,248,13.151924121391561
"2812-Dawley-Ave,-Orlando,-FL-32806","2812 Dawley Ave, Orlando, FL 32806",2812 Dawley Ave,,Orlando,FL,32806,Orange,28.512396,-81.345377,single_family,4.0,2.0,1907.0,10890.0,1957.0,Active,449000,2024-08-31T00:00:00.000Z,220,13.014780393893403
"3336-Edgecliffe-Dr,-Orlando,-FL-32806","3336 Edgecliffe Dr, Orlando, FL 32806",3336 Edgecliffe Dr,,Orlando,FL,32806,Orange,28.503337,-81.367681,single_family,4.0,2.0,3164.0,13939.0,1975.0,Active,825000,2024-09-19T00:00:00.000Z,201,13.623139877437296
"1010-Strathmore-Dr,-Orlando,-FL-32806","1010 Strathmore Dr, Orlando, FL 32806",1010 Strathmore Dr,,Orlando,FL,32806,Orange,28.529329,-81.339353,single_family,3.0,2.0,1845.0,30492.0,1960.0,Active,939900,2024-09-22T00:00:00.000Z,198,13.7535298295508
"905-Marabon-Ave,-Orlando,-FL-32806","905 Marabon Ave, Orlando, FL 32806",905 Marabon Ave,,Orlando,FL,32806,Orange,28.531253,-81.331574,single_family,5.0,3.0,2508.0,15682.0,1960.0,Active,629999,2024-09-23T00:00:00.000Z,197,13.353475098367715
"131-E-Grant-St,-Orlando,-FL-32806","131 E Grant St, Orlando, FL 32806",131 E Grant St,,Orlando,FL,32806,Orange,28.516842,-81.37516,townhouse,3.0,2.0,1767.0,3650.0,2024.0,Active,575000,2024-10-11T00:00:00.000Z,179,13.26212705890841
"1648-Poe-Ave,-Orlando,-FL-32806","1648 Poe Ave, Orlando, FL 32806",1648 Poe Ave,,Orlando,FL,32806,Orange,28.493594,-81.357815,land,4.0,3.0,1863.0,16988.0,1965.0,Active,450000,2024-10-17T00:00:00.000Z,173,13.017005083966255
"4205-Waterfront-Pkwy,-Orlando,-FL-32806","4205 Waterfront Pkwy, Orlando, FL 32806",4205 Waterfront Pkwy,,Orlando,FL,32806,Orange,28.495152,-81.345223,single_family,3.0,2.0,2203.0,22216.0,1960.0,Active,1170000,2024-10-17T00:00:00.000Z,173,13.972515161474428
"625-Gatlin-Ave,-Orlando,-FL-32806","625 Gatlin Ave, Orlando, FL 32806",625 Gatlin Ave,,Orlando,FL,32806,Orange,28.495341,-81.369715,single_family,4.0,2.0,2359.0,30492.0,1930.0,Active,875000,2024-11-03T00:00:00.000Z,156,13.681980308196241
"2900-Lake-Arnold-Pl,-Orlando,-FL-32806","2900 Lake Arnold Pl, Orlando, FL 32806",2900 Lake Arnold Pl,,Orlando,FL,32806,Orange,28.530707,-81.346288,single_family,4.0,2.0,1802.0,10890.0,1967.0,Active,509000,2024-11-06T00:00:00.000Z,153,13.140205260167273
"2201-Delaney-Ave,-Orlando,-FL-32806","2201 Delaney Ave, Orlando, FL 32806",2201 Delaney Ave,,Orlando,FL,32806,Orange,28.517355,-81.371958,single_family,4.0,3.0,2021.0,8522.0,1956.0,Active,699990,2024-11-12T00:00:00.000Z,147,13.45882275680003
"2825-Mayer-St,-Orlando,-FL-32806","2825 Mayer St, Orlando, FL 32806",2825 Mayer St,,Orlando,FL,32806,Orange,28.510531,-81.36262,single_family,3.0,1.0,1404.0,8440.0,1975.0,Active,399900,2024-11-13T00:00:00.000Z,146,12.89897229545694
"1038-E-Michigan-St,---1,-Orlando,-FL-32806","1038 E Michigan St, # 1, Orlando, FL 32806",1038 E Michigan St,# 1,Orlando,FL,32806,Orange,28.510341,-81.364734,condo,3.0,2.0,1664.0,4070.0,1973.0,Active,287500,2024-11-21T00:00:00.000Z,138,12.568981617474362
"2811-Vine-St,-Orlando,-FL-32806","2811 Vine St, Orlando, FL 32806",2811 Vine St,,Orlando,FL,32806,Orange,28.526686,-81.346812,single_family,3.0,2.0,1457.0,10454.0,1957.0,Active,499000,2024-12-03T00:00:00.000Z,126,13.120363378739663
"400-Raehn-St,-Orlando,-FL-32806","400 Raehn St, Orlando, FL 32806",400 Raehn St,,Orlando,FL,32806,Orange,28.524551,-81.372021,single_family,3.0,2.0,1646.0,7985.0,1949.0,Active,550000,2024-12-04T00:00:00.000Z,125,13.217675375388819
"1720-Crocker-Ave,-Orlando,-FL-32806","1720 Crocker Ave, Orlando, FL 32806",1720 Crocker Ave,,Orlando,FL,32806,Orange,28.522638,-81.340511,single_family,3.0,2.0,1890.0,7099.0,2007.0,Active,519998,2024-12-06T00:00:00.000Z,123,13.161582167478837
"1825-E-Kaley-Ave,-Orlando,-FL-32806","1825 E Kaley Ave, Orlando, FL 32806",1825 E Kaley Ave,,Orlando,FL,32806,Orange,28.520201,-81.3562,single_family,5.0,2.0,2196.0,7505.0,1925.0,Active,700000,2024-12-11T00:00:00.000Z,118,13.45883704259595
"336-E-Kaley-St,-Orlando,-FL-32806","336 E Kaley St, Orlando, FL 32806",336 E Kaley St,,Orlando,FL,32806,Orange,28.520038,-81.372954,townhouse,3.0,2.0,1673.0,3361.0,2006.0,Active,439900,2024-12-11T00:00:00.000Z,118,12.994304980578146
