id,formattedaddress,addressline1,addressline2,city,state,zipcode,county,latitude,longitude,propertytype,bedrooms,bathrooms,squarefootage,lotsize,yearbuilt,status,price,listeddate,daysonmarket,log_price
"7395-Universal-Blvd,---103,-Orlando,-FL-32819","7395 Universal Blvd, # 103, Orlando, FL 32819",7395 Universal Blvd,# 103,Orlando,FL,32819,Orange,28.456535,-81.462433,condo,1.0,1.0,671.0,358368120.0,2007.0,Active,180000,2023-12-16T00:00:00.000Z,479,12.100717685412471
"6254-Masters-Blvd,---D106,-Orlando,-FL-32819","6254 Masters Blvd, # D106, Orlando, FL 32819",6254 Masters Blvd,# D106,Orlando,FL,32819,Orange,28.457784,-81.512696,condo,2.0,2.0,1772.0,8412.0,1971.0,Active,499000,2023-11-06T00:00:00.000Z,519,13.120363378739663
"5745-Emerington-Cres,-Orlando,-FL-32819","5745 Emerington Cres, Orlando, FL 32819",5745 Emerington Cres,,Orlando,FL,32819,Orange,28.469929,-81.51904,single_family,7.0,,7881.0,47045.0,2011.0,Active,4940000,2024-03-21T00:00:00.000Z,383,15.412876091593235
"5089-Eaglesmere-Dr,---D09,-Orlando,-FL-32819","5089 Eaglesmere Dr, # D09, Orlando, FL 32819",5089 Eaglesmere Dr,# D09,Orlando,FL,32819,Orange,28.488385,-81.461748,condo,2.0,2.0,999.0,5300.0,1974.0,Active,185000,2024-02-25T00:00:00.000Z,408,12.128116509451258
"7500-Toscana-Blvd,-Apt-331,-Orlando,-FL-32819","7500 Toscana Blvd, Apt 331, Orlando, FL 32819",7500 Toscana Blvd,Apt 331,Orlando,FL,32819,Orange,28.456294,-81.478387,condo,3.0,2.0,2085.0,8905.0,2006.0,Active,490000,2024-02-10T00:00:00.000Z,423,13.102162710901053
"7601-Canada-Ave,---502,-Orlando,-FL-32819","7601 Canada Ave, # 502, Orlando, FL 32819",7601 Canada Ave,# 502,Orlando,FL,32819,Orange,28.452108,-81.467375,condo,1.0,1.0,542.0,542.0,1999.0,Active,149900,2024-03-08T00:00:00.000Z,396,11.917730355182513
"8376-Via-Vittoria-Way,-Orlando,-FL-32819","8376 Via Vittoria Way, Orlando, FL 32819",8376 Via Vittoria Way,,Orlando,FL,32819,Orange,28.452636,-81.495573,single_family,3.0,2.0,3199.0,4806.0,2016.0,Active,1460000,2024-04-22T00:00:00.000Z,351,14.19394767861579
"4978-Washington-Ave,-Orlando,-FL-32819","4978 Washington Ave, Orlando, FL 32819",4978 Washington Ave,,Orlando,FL,32819,Orange,28.48845,-81.498764,single_family,4.0,3.0,7107.0,65340.0,2000.0,Active,2000000,2024-04-25T00:00:00.000Z,348,14.508658238524095
"6071-Windhover-Dr,---C03,-Orlando,-FL-32819","6071 Windhover Dr, # C03, Orlando, FL 32819",6071 Windhover Dr,# C03,Orlando,FL,32819,Orange,28.48489,-81.464171,condo,2.0,2.0,1139.0,2653.0,1974.0,Active,205000,2024-06-08T00:00:00.000Z,304,12.230770136157428
"7395-Universal-Blvd,---504,-Orlando,-FL-32819","7395 Universal Blvd, # 504, Orlando, FL 32819",7395 Universal Blvd,# 504,Orlando,FL,32819,Orange,28.456535,-81.462433,condo,1.0,1.0,671.0,671.0,2007.0,Active,188000,2024-05-22T00:00:00.000Z,321,12.144202560946876
