id,formattedaddress,addressline1,addressline2,city,state,zipcode,county,latitude,longitude,propertytype,lotsize,status,price,listeddate,daysonmarket,bedrooms,bathrooms,squarefootage,yearbuilt,log_price
"1110-W-Ivanhoe-Blvd,-Apt-6,-Orlando,-FL-32804","1110 W Ivanhoe Blvd, Apt 6, Orlando, FL 32804",1110 W Ivanhoe Blvd,Apt 6,Orlando,FL,32804,Orange,28.560778,-81.383396,condo,28314.0,Active,795000,2023-12-15T00:00:00.000Z,480,3.0,2.0,3520.0,1990.0,13.586098651497313
"2233-Valentine-Aly,-Orlando,-FL-32804","2233 Valentine Aly, Orlando, FL 32804",2233 Valentine Aly,,Orlando,FL,32804,Orange,28.568271,-81.412186,townhouse,1686.0,Active,654995,2024-04-14T00:00:00.000Z,359,3.0,2.0,2059.0,2023.0,13.392384407728512
"2018-Packing-District-Way,-Orlando,-FL-32804","2018 Packing District Way, Orlando, FL 32804",2018 Packing District Way,,Orlando,FL,32804,Orange,28.567911,-81.411639,townhouse,999.0,Active,494995,2024-05-18T00:00:00.000Z,325,2.0,1.0,1449.0,2024.0,13.112304960710096
"2901-Backiel-Dr,-Unit-66,-Orlando,-FL-32804","2901 Backiel Dr, Unit 66, Orlando, FL 32804",2901 Backiel Dr,Unit 66,Orlando,FL,32804,Orange,28.594721,-81.41703,manufactured,7500.0,Active,50500,2024-05-30T00:00:00.000Z,313,2.0,1.0,728.0,2022.0,10.829748417047593
"3480-Fairway-Ln,-Orlando,-FL-32804","3480 Fairway Ln, Orlando, FL 32804",3480 Fairway Ln,,Orlando,FL,32804,Orange,28.585388,-81.392359,single_family,7512.0,Active,1269000,2024-07-07T00:00:00.000Z,275,5.0,3.0,3107.0,2025.0,14.053740534718278
"1110-Courtland-St,-Orlando,-FL-32804","1110 Courtland St, Orlando, FL 32804",1110 Courtland St,,Orlando,FL,32804,Orange,28.603727,-81.396187,single_family,7050.0,Active,325000,2024-07-05T00:00:00.000Z,277,3.0,1.0,1255.0,1957.0,12.691583538230217
"4366-Shorecrest-Dr,-Orlando,-FL-32804","4366 Shorecrest Dr, Orlando, FL 32804",4366 Shorecrest Dr,,Orlando,FL,32804,Orange,28.595711,-81.396452,single_family,11326.0,Active,389900,2024-07-18T00:00:00.000Z,264,3.0,2.0,1355.0,1953.0,12.873648139727594
"927-Ashington-Pl,---2,-Orlando,-FL-32804","927 Ashington Pl, # 2, Orlando, FL 32804",927 Ashington Pl,# 2,Orlando,FL,32804,Orange,28.556165,-81.408255,condo,60984.0,Active,425000,2024-07-25T00:00:00.000Z,257,3.0,2.0,2033.0,1975.0,12.959846800844963
"1639-Silver-Star-Rd,-Orlando,-FL-32804","1639 Silver Star Rd, Orlando, FL 32804",1639 Silver Star Rd,,Orlando,FL,32804,Orange,28.578455,-81.404642,single_family,7156.0,Active,349900,2024-07-27T00:00:00.000Z,255,3.0,1.0,999.0,1950.0,12.765405536311112
"2716-Ardsley-Dr,-Orlando,-FL-32804","2716 Ardsley Dr, Orlando, FL 32804",2716 Ardsley Dr,,Orlando,FL,32804,Orange,28.577127,-81.39917,single_family,14810.0,Active,990000,2024-08-02T00:00:00.000Z,249,4.0,3.0,2852.0,1956.0,13.805461232211272
"4177-N-Orange-Blossom-Trl,-Unit-210,-Orlando,-FL-32804","4177 N Orange Blossom Trl, Unit 210, Orlando, FL 32804",4177 N Orange Blossom Trl,Unit 210,Orlando,FL,32804,Orange,28.589422,-81.409697,condo,1880.0,Active,390000,2024-09-17T00:00:00.000Z,203,3.0,2.0,1822.0,2009.0,12.873904582205107
"732-Edgewater-Dr,-Orlando,-FL-32804","732 Edgewater Dr, Orlando, FL 32804",732 Edgewater Dr,,Orlando,FL,32804,Orange,28.554183,-81.387978,single_family,6646.0,Active,975000,2024-09-19T00:00:00.000Z,201,4.0,3.0,2112.0,1930.0,13.790193775620484
"900-Sussex-Close,-Orlando,-FL-32804","900 Sussex Close, Orlando, FL 32804",900 Sussex Close,,Orlando,FL,32804,Orange,28.555276,-81.408684,condo,7500.0,Active,525000,2024-09-23T00:00:00.000Z,197,4.0,2.0,2076.0,1980.0,13.171155446333852
"4113-Fairview-Vista-Pt,-Apt-308,-Orlando,-FL-32804","4113 Fairview Vista Pt, Apt 308, Orlando, FL 32804",4113 Fairview Vista Pt,Apt 308,Orlando,FL,32804,Orange,28.58636,-81.408599,condo,271814.0,Active,219900,2024-09-25T00:00:00.000Z,195,2.0,2.0,1065.0,1980.0,12.300932724054114
"4105-Fairview-Vista-Pt,-Apt-225,-Orlando,-FL-32804","4105 Fairview Vista Pt, Apt 225, Orlando, FL 32804",4105 Fairview Vista Pt,Apt 225,Orlando,FL,32804,Orange,28.586454,-81.407316,condo,206910.0,Active,230000,2024-10-04T00:00:00.000Z,186,2.0,2.0,1065.0,1980.0,12.345838935721968
"1223-Country-Club-Oaks-Cir,-Orlando,-FL-32804","1223 Country Club Oaks Cir, Orlando, FL 32804",1223 Country Club Oaks Cir,,Orlando,FL,32804,Orange,28.55917,-81.3973,townhouse,3520.0,Active,750000,2024-10-15T00:00:00.000Z,175,3.0,2.0,2576.0,2003.0,13.527829818844937
"1020-W-Princeton-St,-Orlando,-FL-32804","1020 W Princeton St, Orlando, FL 32804",1020 W Princeton St,,Orlando,FL,32804,Orange,28.570814,-81.3945,single_family,6970.0,Active,1190000,2024-10-18T00:00:00.000Z,172,5.0,3.0,3081.0,2024.0,13.989464705423494
"41-E-Spruce-St,-Orlando,-FL-32804","41 E Spruce St, Orlando, FL 32804",41 E Spruce St,,Orlando,FL,32804,Orange,28.575944,-81.377491,townhouse,3959.0,Active,484900,2024-10-21T00:00:00.000Z,169,3.0,2.0,1642.0,2008.0,13.0917000253722
"1333-W-Smith-St,-Orlando,-FL-32804","1333 W Smith St, Orlando, FL 32804",1333 W Smith St,,Orlando,FL,32804,Orange,28.572207,-81.399073,single_family,10019.0,Active,1399999,2024-10-30T00:00:00.000Z,160,7.0,4.5,5426.0,1942.0,14.151982794585487
