id,formattedaddress,addressline1,addressline2,city,state,zipcode,county,latitude,longitude,propertytype,bedrooms,bathrooms,squarefootage,lotsize,yearbuilt,status,price,listeddate,daysonmarket,log_price
"4500-S-Hiawassee-Rd,-Orlando,-FL-32835","4500 S Hiawassee Rd, Orlando, FL 32835",4500 S Hiawassee Rd,,Orlando,FL,32835,Orange,28.496617,-81.485463,single_family,5.0,2.0,2730.0,169884.0,1967.0,Active,1850000,2017-11-20T00:00:00.000Z,2714,14.430696737594902
"6119-Metrowest-Blvd,-Unit-106,-Orlando,-FL-32835","6119 Metrowest Blvd, Unit 106, Orlando, FL 32835",6119 Metrowest Blvd,Unit 106,Orlando,FL,32835,Orange,28.515942,-81.464044,condo,2.0,2.0,1361.0,469.0,2004.0,Active,299000,2024-01-05T00:00:00.000Z,477,12.608202196848836
"6462-Cantua-Ln,-Unit-107,-Orlando,-FL-32835","6462 Cantua Ln, Unit 107, Orlando, FL 32835",6462 Cantua Ln,Unit 107,Orlando,FL,32835,Orange,28.514364,-81.470389,condo,2.0,2.0,1438.0,1021.0,2005.0,Active,329000,2023-11-21T00:00:00.000Z,522,12.703816069256568
"1027-S-Hiawassee-Rd,-Apt-2313,-Orlando,-FL-32835","1027 S Hiawassee Rd, Apt 2313, Orlando, FL 32835",1027 S Hiawassee Rd,Apt 2313,Orlando,FL,32835,Orange,28.528803,-81.473225,condo,2.0,2.0,829.0,3610.0,1989.0,Active,169000,2023-09-26T00:00:00.000Z,578,12.037659911047468
"3338-Robert-Trent-Jones-Dr,---20904,-Orlando,-FL-32835","3338 Robert Trent Jones Dr, # 20904, Orlando, FL 32835",3338 Robert Trent Jones Dr,# 20904,Orlando,FL,32835,Orange,28.505799,-81.471162,condo,3.0,2.0,1391.0,16117.0,2009.0,Active,245000,2023-12-11T00:00:00.000Z,502,12.409017571151187
"5957-Westgate-Dr,-Apt-1914,-Orlando,-FL-32835","5957 Westgate Dr, Apt 1914, Orlando, FL 32835",5957 Westgate Dr,Apt 1914,Orlando,FL,32835,Orange,28.532594,-81.464151,condo,2.0,2.0,1077.0,4759.0,1999.0,Active,225000,2024-03-12T00:00:00.000Z,410,12.323860125621126
"4627-Woodlot-Ct,-Orlando,-FL-32835","4627 Woodlot Ct, Orlando, FL 32835",4627 Woodlot Ct,,Orlando,FL,32835,Orange,28.494054,-81.479601,single_family,4.0,2.5,3265.0,22216.0,1979.0,Active,1145000,2024-03-12T00:00:00.000Z,410,13.95091606833254
"6016-Westgate-Dr,-Apt-301,-Orlando,-FL-32835","6016 Westgate Dr, Apt 301, Orlando, FL 32835",6016 Westgate Dr,Apt 301,Orlando,FL,32835,Orange,28.531223,-81.465371,condo,2.0,2.0,1515.0,5936.0,1988.0,Active,220000,2024-04-23T00:00:00.000Z,368,12.301387370778713
"3480-Soho-St,-Apt-307,-Orlando,-FL-32835","3480 Soho St, Apt 307, Orlando, FL 32835",3480 Soho St,Apt 307,Orlando,FL,32835,Orange,28.506079,-81.472405,condo,2.0,2.0,1107.0,11761.0,2000.0,Active,207000,2024-05-10T00:00:00.000Z,351,12.240478903153711
"3446-Soho-St,-Apt-304,-Orlando,-FL-32835","3446 Soho St, Apt 304, Orlando, FL 32835",3446 Soho St,Apt 304,Orlando,FL,32835,Orange,28.506746,-81.47344,condo,2.0,2.0,1233.0,11761.0,2000.0,Active,200000,2024-05-13T00:00:00.000Z,348,12.206077645517674
"1059-S-Hiawassee-Rd,-Apt-1824,-Orlando,-FL-32835","1059 S Hiawassee Rd, Apt 1824, Orlando, FL 32835",1059 S Hiawassee Rd,Apt 1824,Orlando,FL,32835,Orange,28.528904,-81.472246,condo,2.0,2.0,836.0,3784.0,1989.0,Active,200000,2024-06-27T00:00:00.000Z,303,12.206077645517674
