id,formattedaddress,addressline1,addressline2,city,state,zipcode,county,latitude,longitude,propertytype,bedrooms,bathrooms,squarefootage,lotsize,yearbuilt,status,price,listeddate,daysonmarket,log_price
"13438-Leggett-Aly,-Orlando,-FL-32827","13438 Leggett Aly, Orlando, FL 32827",13438 Leggett Aly,,Orlando,FL,32827,Orange,28.351516,-81.252638,single_family,5.0,4.0,3799.0,5399.0,2024.0,Active,949990,2023-07-07T00:00:00.000Z,640,13.764207789847637
"14563-Orchid-Island-Dr,-Orlando,-FL-32827","14563 Orchid Island Dr, Orlando, FL 32827",14563 Orchid Island Dr,,Orlando,FL,32827,Orange,28.354202,-81.240449,townhouse,4.0,3.0,1809.0,2113.0,2021.0,Active,580000,2024-02-24T00:00:00.000Z,408,13.270785106659046
"13195-Lessing-Ave,-Orlando,-FL-32827","13195 Lessing Ave, Orlando, FL 32827",13195 Lessing Ave,,Orlando,FL,32827,Orange,28.375337,-81.250502,single_family,5.0,4.0,4327.0,17424.0,2016.0,Active,1495000,2024-04-19T00:00:00.000Z,353,14.217637433703022
"7517-Laureate-Blvd,-Unit-4403,-Orlando,-FL-32827","7517 Laureate Blvd, Unit 4403, Orlando, FL 32827",7517 Laureate Blvd,Unit 4403,Orlando,FL,32827,Orange,28.368288,-81.270699,condo,2.0,2.0,1549.0,1742.0,2019.0,Active,389000,2024-05-08T00:00:00.000Z,334,12.871337193291367
"13661-Granger-Ave,-Orlando,-FL-32827","13661 Granger Ave, Orlando, FL 32827",13661 Granger Ave,,Orlando,FL,32827,Orange,28.370972,-81.255096,single_family,5.0,4.0,4650.0,10454.0,2016.0,Active,1695000,2024-05-08T00:00:00.000Z,334,14.343193888767015
"9589-Blandford-Rd,-Orlando,-FL-32827","9589 Blandford Rd, Orlando, FL 32827",9589 Blandford Rd,,Orlando,FL,32827,Orange,28.415528,-81.25066,single_family,5.0,4.0,6101.0,25265.0,2006.0,Active,3800000,2024-05-03T00:00:00.000Z,339,15.150511887854474
"10125-Gobat-Aly,-Orlando,-FL-32827","10125 Gobat Aly, Orlando, FL 32827",10125 Gobat Aly,,Orlando,FL,32827,Orange,28.35454608,-81.25614723,single_family,6.0,5.0,3500.0,4819.0,2024.0,Active,959990,2024-05-08T00:00:00.000Z,334,13.774679188400073
"11027-Cromwell-Rd,-Orlando,-FL-32827","11027 Cromwell Rd, Orlando, FL 32827",11027 Cromwell Rd,,Orlando,FL,32827,Orange,28.40320333,-81.26401086,single_family,5.0,4.0,7070.0,12197.0,2025.0,Active,5299000,2024-05-20T00:00:00.000Z,322,15.483028870189733
"10322-Marconi-Ave,-Orlando,-FL-32827","10322 Marconi Ave, Orlando, FL 32827",10322 Marconi Ave,,Orlando,FL,32827,Orange,28.354536,-81.253979,single_family,4.0,3.0,2411.0,3631.0,2024.0,Active,759000,2024-05-25T00:00:00.000Z,317,13.539758373899955
"12863-Upper-Harden-Ave,-Orlando,-FL-32827","12863 Upper Harden Ave, Orlando, FL 32827",12863 Upper Harden Ave,,Orlando,FL,32827,Orange,28.380793,-81.251878,single_family,5.0,4.0,4251.0,10454.0,2017.0,Active,1499000,2024-07-08T00:00:00.000Z,273,14.22030944419592
